p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,13,1,301,24,1,13,2023,2,2.0,13,4,,243,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,24,1,13,2022,2,2.0,13,4,,243,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,29,1,13,2020,1,2.0,13,4,32.0,320,Male,Job search,Economic,Established,Low,Mexico,United States
1,13,1,301,23,1,13,2021,2,1.0,13,4,,177,Male,Job search,Economic,Returned,Low,Mexico,United States
1,13,1,301,21,1,13,2021,2,1.0,13,4,,177,Male,Job search,Economic,Returned,Low,Mexico,United States
1,10,2,301,21,1,10,2020,1,2.0,10,1,3.0,149,Female,Job search,Economic,Established,Upper-Middle,Mexico,United States
1,10,1,101,40,1,10,2020,2,1.0,10,1,,273,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Mexico
1,10,1,101,58,1,10,2022,1,1.0,10,1,10.0,250,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,10,1,418,21,1,10,2022,1,1.0,10,1,9.0,250,Male,Job search,Economic,Established,Upper-Middle,Mexico,Other Caribbean
1,10,1,101,28,1,10,2022,1,1.0,10,1,4.0,250,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,10,1,101,28,1,10,2020,1,1.0,10,1,3.0,174,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,10,1,101,21,1,10,2021,1,1.0,10,1,6.0,189,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,10,2,101,48,1,10,2022,1,1.0,10,1,5.0,207,Female,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,5,1,301,25,1,10,2021,2,1.0,10,1,,192,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,10,1,401,65,1,10,2018,1,1.0,10,1,20.0,158,Male,Job search,Economic,Established,Upper-Middle,Mexico,Cuba
1,10,2,401,68,1,10,2018,1,1.0,10,1,20.0,158,Female,Job search,Economic,Established,Upper-Middle,Mexico,Cuba
1,221,1,201,33,1,10,2023,2,2.0,10,1,,165,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Guatemala
1,10,1,301,23,1,10,2021,2,1.0,10,1,,194,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,10,1,301,2,1,10,2021,2,1.0,10,1,,169,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,10,1,301,4,1,10,2019,2,2.0,10,1,,169,Male,Job search,Economic,Returned,Upper-Middle,Mexico,United States
1,5,1,101,41,1,10,2023,2,1.0,10,1,,180,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Mexico
1,10,1,101,68,1,10,2019,1,,10,1,1.0,140,Male,Job search,Economic,Established,Upper-Middle,Mexico,Mexico
1,10,1,408,25,1,10,2022,2,1.0,10,1,,165,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Haiti
1,10,1,401,49,1,10,2018,2,1.0,10,1,,173,Male,Job search,Economic,Returned,Upper-Middle,Mexico,Cuba
1,10,1,301,21,1,10,2022,2,2.0,10,2,,183,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,221,2,301,18,1,10,2023,2,1.0,10,2,,174,Female,Job search,Economic,Returned,Middle,Mexico,United States
1,10,1,301,21,1,10,2021,2,1.0,10,2,,194,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,10,1,101,26,1,10,2023,2,1.0,10,2,,154,Male,Job search,Economic,Returned,Middle,Mexico,Mexico
1,10,1,101,68,1,10,2022,1,1.0,10,2,7.0,173,Male,Job search,Economic,Established,Middle,Mexico,Mexico
1,10,1,301,40,1,10,2023,2,1.0,10,2,,173,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,10,2,301,18,1,10,2019,1,1.0,10,2,3.0,152,Female,Job search,Economic,Established,Middle,Mexico,United States
1,10,1,101,24,1,10,2020,2,2.0,10,2,,152,Male,Job search,Economic,Returned,Middle,Mexico,Mexico
1,10,2,301,20,1,10,2019,2,1.0,10,2,,152,Female,Job search,Economic,Returned,Middle,Mexico,United States
1,10,2,301,21,1,10,2019,2,1.0,10,2,,152,Female,Job search,Economic,Returned,Middle,Mexico,United States
1,10,1,201,33,1,10,2021,1,2.0,10,2,19.0,207,Male,Job search,Economic,Established,Middle,Mexico,Guatemala
1,10,1,403,36,1,10,2022,2,2.0,10,2,,166,Male,Job search,Economic,Returned,Middle,Mexico,Dominican Republic
1,8,2,101,58,1,10,2023,1,1.0,10,2,1.0,166,Female,Job search,Economic,Established,Middle,Mexico,Mexico
1,10,1,301,27,1,10,2023,2,1.0,10,2,,164,Male,Job search,Economic,Returned,Middle,Mexico,United States
