"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"2800787","03","1","01","280078703101","","2800787031","280078703","28","1","1","1","028","2","8","401","059","1","028","09","2018","1","221","2","02","3","3","03","1","221","2","02","","","","","","","","",305,"1","1","12","3","1","2","","","3","529","12952"
"2801108","04","1","01","280110804101","","2801108041","280110804","28","1","1","1","028","2","8","416","059","1","028","01","2023","1","221","3","06","1","3","03","1","221","3","06","","","","","","","","",201,"1","1","12","3","1","2","","","2","539","12983"
"2801171","02","1","01","280117102101","","2801171021","280117102","28","1","1","1","028","2","3","301","028","1","028","99","2018","1","221","2","02","2","2","02","1","221","2","02","","","","","","","","",362,"1","1","6","2","1","2","","","3","540","12992"
"2801393","05","1","01","280139305101","","2801393051","280139305","28","1","1","1","028","2","3","301","021","1","028","02","2021","1","221","2","02","5","5","05","1","221","2","02","","","","","","","","",373,"1","1","5","2","1","2","","","4","541","13008"
"2801426","04","1","01","280142604101","","2801426041","280142604","28","1","1","2","030","2","1","101","058","1","028","04","2019","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",329,"1","1","12","3","1","2","","","3","540","13012"
"2801426","04","1","02","280142604102","","2801426041","280142604","28","1","1","1","028","1","2","201","062","1","028","04","2019","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",329,"1","1","13","4","1","2","","","3","540","13012"
"2801426","04","1","03","280142604103","","2801426041","280142604","28","1","1","1","028","1","3","301","035","1","028","04","2019","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",329,"1","1","8","3","1","2","","","3","540","13012"
"2801480","05","1","01","280148005101","280148005105","2801480051","280148005","28","1","1","3","221","1","5","418","026","1","028","01","2023","1","221","3","06","5","1","01","2","260","","","3","006","06","2023","3","03","1","05",339,"1","1","6","2","1","1","05","1","2","539","13016"
"2801509","03","1","01","280150903101","","2801509031","280150903","28","1","1","2","010","1","1","101","045","9","999","08","2023","1","221","2","02","2","1","01","1","221","2","02","","","","","","","","",319,"1","1","10","3","1","2","","","4","541","13019"
"2801603","04","1","01","280160304101","","2801603041","280160304","28","1","1","1","028","1","2","201","038","1","028","09","2023","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",343,"1","1","8","3","2","2","","","2","539","13024"
